artist_id,name,popularity,followers
0tRRrNLQY5rejEDVSjy4w3,Debelah Morgan,32,14897
1Tdrtr2WwDDde01GJllidM,Trick Pony,32,199102
7bbJOUpJk7Y8Pkr2fCtDsc,Sacario,32,244
0pper2FC30u4IeOmeH1sLa,Armageddon,32,986
5dsmlVS4HsQ44fEGCmARw4,Little Smokey,32,275
13aBWT8LN4oNWWGFOu96MA,Clay Aiken,32,68367
4riz3aqKLe0ROniKeD67ME,7 Aurelius,32,242
4GrVVlog2emXt8qBhJYclT,Brooklynn,32,569
6UEvetDZ4veYVgjA7RYrdI,Chris Daughtry,32,27586
3c5SZMWLIrnYqoAiDnO5Ll,Dos,32,1950
7Ej52CNJlhlwWROkrcjKLL,GS Boyz,32,70546
5Z22vlK4DCgDrQgBEqfc8w,Kristinia DeBarge,32,122930
3IcF2f5vEkY6HPQfLlQDlw,Mitchel Musso,32,358709
0WjcdSKSTiNtfM4uQDIPDm,Artists for Haiti,32,5144
1gPo4GYra6HG4nBHD1D3c5,Zach Sobiech,32,30982
3GaRKzVcjJv5cIL8CmRAHn,Sawyer Fredericks,32,73159
1iBGuNBYRKnNdKxm0kKNM0,Young Sinatra,32,2660
2P6KPAphDMASmfHjnxSMmR,The Datsuns,33,34615
735L650pvygCZZlPMyHqsN,John Scott Trotter & His Orchestra,33,696
13C1r67pHZXIokdommj2dF,Splender,33,29810
5UloVKzUNJcjORzhhTWWiJ,The Karaoke Channel,33,26602
2MbYIRNlHvHv43cBpyksSe,Tha' Rayne,33,1876
1yLlQimDTRrACa45u50LXW,Josh Kelley,33,40973
7yCSZNIAKQFU76UWGU1miJ,The Kid Slim,33,117
5M6GE2n46o0qBIyGXtzdQz,The Pack,33,31500
696fbyLHSMBSYjDrDU5yiK,Chuck Wicks,33,105933
48reYHD6V0dzp38f4VUP9A,Casha,33,581
33nrND6ODgesoa1Qmr5DbD,Slim,33,4669
2hLBMpnVLdS8kOLFyFlq58,Mystic,33,2880
0SuQEAJ7EMAipBdrAYO4XS,Jacquie,33,29554
4L1YBxxAxQx0HG8lgPcFcJ,Damian Lemar Hudson,33,4899
5ClhQPdU6C5kY1kgK1ZQdm,Gloria Carter,33,327
3etsInSG9p8MRsldw7NQUf,Jankai,33,181
1ZEqGVxGNeiNyssm83CeKP,Hot Girl Meg,33,4588
4iwJZqoo4TmCIiISdHdhbQ,R.L.,34,1562
2gdX1GbQ8sljsTVwDaIpkc,Nu Flavor,34,27538
72ktMty33X1LsIzHdRr0U5,Tom Scott,34,33101
6xzdpjZ5OURzMdpjCFW008,Charli Baltimore,34,88716
0dJ4EXAj8j47TP3U47T4Sj,Studio Allstars,34,21774
1hckaudcoOzWyeRIlrOksc,Kelly Osbourne,34,32775
3xa21BSAfiPMn6IREtiOcy,Spliff Starr,34,539
32u2WZCxOqyacmU7hNtboY,Yung Wun,34,2043
4EpvzO36tqrLQSQ6XHeSit,Erotic FX,34,1612
1JfkqBTXs6VC3JZ7RJNu7h,Jordan Pruitt,34,304331
3ALJMSAJLWusPPBRwwJJ5U,Down A.K.A Kilo,34,5544
1HOyRMAssUnc48tVmI4b0z,Superpower,34,127
0uwaniEjl7wxOFSM4vaHvI,Cap,34,659
11qXNlpW2plENTWt8PMJjZ,Kris Stephens,34,443
6eUSUma6IbsuvfAs9c0Kti,Young Greatness,34,66024
1FQXio7XougvCvKLIu0CCk,Tucker Beathard,34,57756
3lrDYjsghBMfUTiLziD9q9,TORRES,34,52034
18BHcaFxDHqgfehv4g6vjC,Party Tyme,35,1069
67ISVBZzcCTTKM17Ps00sx,Chico DeBarge,35,143079
1aSIXmBKKrEVIbGLwhedIe,Chely Wright,35,142883
16HCiYXoNdjZDdKPaH03b8,Bravehearts,35,10848
1q5Nczup0WnMsnnhRxJ4BX,Cullen Waller,35,74
0kuEP1E9k3WBEwMKwEmp9u,Willa Ford,35,81789
6rxiUsSvkn5yTs1kfuV8Le,St. Lunatics,35,183331
2quHEq7N5G0lU7keIHPJUd,The Country Gentlemen,35,6842
6FNA65HkfMcw20mEKIK9eA,Tony Sunshine,35,4498
